metric,value
test_transactions,45000.0
test_fraud_count,648.0
test_fraud_rate,0.0144
test_total_amount,5175414.920000001
avg_fraud_score,0.06375440350737804
champion_threshold,0.8986713019482513
alerts_count,538.0
alert_rate,0.011955555555555556
true_positives,322.0
false_positives,216.0
false_negatives,326.0
true_negatives,44136.0
precision_at_threshold,0.5985130111524164
recall_at_threshold,0.49691358024691357
top_1pct_review_volume,450.0
top_1pct_recall,0.44907407407407407
top_1pct_precision,0.6466666666666666
top_3pct_review_volume,1350.0
top_3pct_recall,0.7376543209876543
top_3pct_precision,0.3540740740740741
top_5pct_review_volume,2250.0
top_5pct_recall,0.8595679012345679
top_5pct_precision,0.24755555555555556
top_10pct_review_volume,4500.0
top_10pct_recall,0.9382716049382716
top_10pct_precision,0.1351111111111111
