payment_method_id,txn_count,fraud_count,alert_count,high_risk_count,medium_risk_count,approved_amount_sum,avg_amount,median_amount,avg_fraud_score,max_fraud_score,cross_border_count,geo_mismatch_count,ip_mismatch_count,low_trust_device_count,fraud_rate,alert_rate,high_risk_rate,cross_border_rate,geo_mismatch_rate,ip_mismatch_rate,low_trust_device_rate,payment_type,issuer_country,currency
PM_009341,4,2,1,1,2,796.8100000000001,199.20250000000001,116.25,0.7563606961760706,0.9984856481320796,3,4,3,3,0.5,0.25,0.25,0.75,1.0,0.75,0.75,credit_card,US,EUR
PM_010976,3,0,1,1,1,646.22,215.40666666666667,202.5,0.6077235806105133,0.9245704681392756,3,3,1,0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,credit_card,PT,EUR
PM_006417,3,1,0,0,2,295.54999999999995,98.51666666666665,100.27,0.5618212060960184,0.8740811540392728,3,3,2,2,0.3333333333333333,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,credit_card,ES,EUR
PM_004902,4,1,1,1,1,393.89,98.4725,46.370000000000005,0.5440705284098777,0.9400594141361048,4,4,3,0,0.25,0.25,0.25,1.0,1.0,0.75,0.0,debit_card,PT,EUR
PM_001825,3,1,0,0,2,189.07,63.02333333333333,30.06,0.5408721505599337,0.8759916926046235,1,3,2,3,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,1.0,wallet,US,EUR
PM_003952,3,0,1,1,1,2056.8,685.6,790.6,0.5371391650554667,0.902408611605207,1,3,1,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,credit_card,GB,EUR
PM_009934,3,2,1,1,0,274.1,91.36666666666667,99.31,0.5242291425868181,0.9871742324319328,1,3,2,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.0,credit_card,GB,EUR
PM_007233,3,1,1,1,0,1168.55,389.51666666666665,385.37,0.5152731269369741,0.9514288027715192,3,3,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,credit_card,GB,EUR
PM_007652,4,0,0,0,2,936.68,234.17,155.14,0.5124586634445415,0.7489745329539983,3,4,3,2,0.0,0.0,0.0,0.75,1.0,0.75,0.5,credit_card,US,EUR
PM_010143,4,0,0,0,1,311.79999999999995,77.94999999999999,77.975,0.49384606942634407,0.8689186364482393,3,4,3,1,0.0,0.0,0.0,0.75,1.0,0.75,0.25,debit_card,ES,EUR
