transaction_id,transaction_ts,transaction_date,fraud_label,fraud_type,fraud_score,risk_bucket,alert_flag,prediction_outcome,review_rank,review_percentile,amount,channel,payment_type,merchant_category,merchant_risk_level,customer_segment,transaction_country,ip_country,currency,is_cross_border,issuer_country_mismatch,ip_country_mismatch,geo_mismatch_any_flag,card_present_flag,shared_or_low_trust_device_flag,customer_txn_count_prev_1h,customer_txn_count_prev_24h,device_txn_count_prev_1h,device_txn_count_prev_24h,payment_method_txn_count_prev_1h,payment_method_txn_count_prev_24h,merchant_fraud_rate_prior,device_fraud_rate_prior,payment_method_fraud_rate_prior,amount_to_customer_expected_ratio,amount_to_merchant_prior_mean_ratio,behavioral_novelty_score,risk_signal_score,customer_id,merchant_id,device_id,payment_method_id,in_top_1pct_review_queue,in_top_3pct_review_queue,in_top_5pct_review_queue,in_top_10pct_review_queue
TXN_000060634,2026-03-24 04:35:49,2026-03-24,1,stolen_card,0.99907068327453,high,1,true_positive,1,2.2222222222222223e-05,950.0,mobile,debit_card,digital_services,high,mass,PT,GB,EUR,1,1,1,1,0,0,0,0,0,0,0,1,0.2251315789473684,0.0058666666666666,0.067027027027027,24.394628046118687,9.049573415586734,3,6,CUST_004230,MERCH_000566,DEV_004083,PM_011858,1,1,1,1
TXN_000058656,2026-03-24 06:58:19,2026-03-24,1,merchant_collusion,0.9985462953913792,high,1,true_positive,2,4.4444444444444447e-05,808.79,mobile,credit_card,digital_services,high,digital_native,IT,DE,EUR,1,1,1,1,0,1,0,0,0,1,0,0,0.240377358490566,0.0146938775510204,0.0183333333333333,10.059125315681646,9.218541774797313,1,5,CUST_006995,MERCH_000910,DEV_007086,PM_000488,1,1,1,1
TXN_000274001,2026-03-14 20:45:28,2026-03-14,1,merchant_collusion,0.9984856481320796,high,1,true_positive,3,6.666666666666667e-05,465.35,mobile,credit_card,digital_services,high,sme,IT,US,EUR,1,1,1,1,0,0,0,1,0,1,0,0,0.2369965870307167,0.0084705882352941,0.0642105263157894,21.07351313273624,5.432326478671241,1,4,CUST_007606,MERCH_000910,DEV_006150,PM_009341,1,1,1,1
TXN_000045335,2026-03-25 21:29:59,2026-03-25,1,merchant_collusion,0.998070318291189,high,1,true_positive,4,8.888888888888889e-05,201.0,web,credit_card,digital_services,high,mass,IT,US,EUR,1,1,1,1,0,0,0,0,0,0,0,2,0.2420987654320987,0.0208695652173913,0.0277272727272727,4.492910972027079,2.2146938032864485,2,5,CUST_008894,MERCH_000910,DEV_005241,PM_008519,1,1,1,1
TXN_000057482,2026-03-11 18:34:46,2026-03-11,1,merchant_collusion,0.9980318791492514,high,1,true_positive,5,0.00011111111111111112,147.2,mobile,credit_card,digital_services,high,mass,FR,US,EUR,1,1,1,1,0,0,0,0,0,0,0,0,0.2053333333333333,0.0075862068965517,0.0369696969696969,3.129160989844527,1.552322768398927,1,4,CUST_006196,MERCH_001028,DEV_004184,PM_007331,1,1,1,1
TXN_000182233,2026-03-15 20:24:35,2026-03-15,1,merchant_collusion,0.9979898083145532,high,1,true_positive,6,0.00013333333333333334,602.27,mobile,debit_card,electronics,medium,mass,DE,PT,EUR,1,0,1,1,0,0,0,0,0,1,0,0,0.1871207430340557,0.0128571428571428,0.0078571428571428,26.985331918405848,4.63781482065071,1,5,CUST_004725,MERCH_000066,DEV_000705,PM_000262,1,1,1,1
TXN_000051632,2026-03-20 04:43:10,2026-03-20,1,stolen_card,0.9979073768857856,high,1,true_positive,7,0.00015555555555555556,659.76,mobile,credit_card,digital_services,medium,sme,DE,US,EUR,1,1,1,1,0,1,0,0,0,0,0,0,0.0557847533632287,0.0533333333333333,0.0679999999999999,8.553729709503935,9.520894513364173,1,5,CUST_007541,MERCH_000068,DEV_006216,PM_001094,1,1,1,1
TXN_000032778,2026-03-23 21:13:21,2026-03-23,1,stolen_card,0.9978738506406152,high,1,true_positive,8,0.00017777777777777779,950.0,web,credit_card,digital_services,high,affluent,PT,DE,EUR,1,0,1,1,0,0,0,0,0,0,0,1,0.2248,0.017560975609756,0.0072131147540983,4.8747947454844,9.256974660597896,1,4,CUST_005194,MERCH_000566,DEV_003884,PM_006383,1,1,1,1
TXN_000281540,2026-03-09 02:27:45,2026-03-09,1,stolen_card,0.9978482336376796,high,1,true_positive,9,0.0002,950.0,mobile,credit_card,electronics,medium,sme,PT,ES,EUR,1,1,1,1,0,1,0,1,0,1,0,0,0.0142148760330578,0.0210344827586206,0.0112820512820512,11.147556804286628,12.14318245808184,1,7,CUST_006020,MERCH_000312,DEV_007557,PM_005346,1,1,1,1
TXN_000152634,2026-03-15 20:55:47,2026-03-15,1,stolen_card,0.997836108647706,high,1,true_positive,10,0.00022222222222222223,239.67,web,credit_card,digital_services,high,mass,ES,DE,EUR,1,1,1,1,0,1,0,0,1,2,0,1,0.042312925170068,0.0179411764705882,0.0305,11.511773119289556,5.380626670446594,3,5,CUST_004508,MERCH_000960,DEV_004462,PM_010295,1,1,1,1
